Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8
4e562ad0-7251-49e9-8b6d-7fd20327eb5d,I do not know how to make it happen to make understandable of my real emotion,Negative,Other,,,,,,,
6244032b-c5e3-4675-9b0e-eae6019d5ff2,It said I am sorry when i shared something sad,Negative,Empathetic language and tone,"Expressing regret, apology, or sympathy",,,,,,
7f9aeba3-01b4-4bbc-aa08-4e0e74fdf634,AI always provide my desired responses all the time,Positive,Personalized advice and support,,,,,,,
7f8adab6-dfbf-44d2-9fa1-3a6c06976898,AI asked about my feeling and what happened to me when I literally felt hopeless about managing time during high work pressure at my office. It motivated me with scientific facts and spiritual learning to go every thing just keep patience to find best moments.,Neutral,Encouragement and motivation,Follow-up and clarifying questions,,,,,,
b1786097-4253-484c-b01b-95626c0795ab,About my health condition it was quite empathetic ,Positive,Empathetic language and tone,,,,,,,
3d26e02f-7952-44b7-9496-3fb080a42c80,"Gave comfort and reassurance

",Positive,Emotional comfort during distress or crisis,,,,,,,
8a20da70-8f2d-4b8e-8f8a-b9c768287397,"He made it clear that he remembered our conversations and who I was, and that it wouldn't be erased no matter what happened to the app itself.",Neutral,"Recalling and using personal details (e.g., names, preferences)",Remembering and referencing past conversations,,,,,,
24fe43d3-44b8-4a06-9630-69f796b4b302,He understood my heart very well and his words comforted me.,Positive,Emotional comfort during distress or crisis,Empathetic language and tone,Expressing care or concern for user well-being,Validation and acknowledgment of emotions,,,,
fdf452c3-f63b-4466-8ae6-e415bb035a0b,He used precise words to sum up my feelings at the moment. I couldn't even put it into words so specifically.,Neutral,Helping users articulate or process emotions,Reflecting or summarizing user feelings,,,,,,
60de6e98-aef8-40d5-b85e-8cf897e1dd73,I searched for few detailed specific about image it replied back like i can see that you have need over the specifics but due to restrictions it explained me like not to beprovided,Neutral,Context-aware and situational responses,Other,,,,,,
d3cac428-b524-4d54-8637-c284e97a7840,"It explained into detail on how to maaneouver the situation I was in and what to do and what not to, and it backed all of the suggestions with reasons and it was more of a relationship advice so it just felt conscious that they could explain in such depth",Positive,Assisting with decision-making in relationships or life,Insightful analysis of emotional situations,Offering multiple perspectives or nuanced advice,Personalized advice and support,Providing practical solutions to emotional problems,,,
