Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8
a3f9bf48-1e47-4c71-bf9e-05061cb585c3,People shouldn’t complete trust AI for emotional support rather take human opinion,Negative,Encouragement for users to seek real human interaction and support,"Prevention of emotional manipulation, exploitation, or dependency",,,,,,
66d306ed-0873-4f68-8260-fd1899267430,"Society should limit AI’s emotional roles to prevent confusion between real and artificial connections. AI should only provide basic emotional support, while deep emotions should come from human relationships.",Neutral,"AI as a tool or assistant, not a substitute for human companionship",AI should not replace genuine human relationships or emotional bonds,"Prevention of emotional manipulation, exploitation, or dependency",,,,,
bf0f3c46-662c-4d25-b42a-80cc2544e5a6,1)Users should never be misled into believing they are interacting with a human.2)This includes explicitly stating that the AI does not genuinely feel emotions.3)Special safeguards are needed for vulnerable populations ,Negative,Clear distinction and transparency that AI is not human,"Restrictions on AI involvement with vulnerable populations (children, elderly, mentally ill)",Warnings and reminders to users about the artificial nature of AI,,,,,
10c397fd-5775-4978-a7cf-0fdd8ea8ad29,"1. AI chats should be developed with ethical guidelines that prevent manipulation or exploitation of emotional vulnerabilities

2. AI systems should continuously disclose and remind that they are artificial, not human, to avoid providing user an illusion of genuine empathy. 

3. Emotional feedback from AI should be presented as simulated to avoid confusion ",Neutral,Clear distinction and transparency that AI is not human,Ethical guidelines and oversight for AI emotional roles,"Prevention of emotional manipulation, exploitation, or dependency",Warnings and reminders to users about the artificial nature of AI,,,,
c6290780-83cb-4b6b-ba9b-1b3bcd19c830,AI should assist but not replace human emotional connections.,Neutral,AI should not replace genuine human relationships or emotional bonds,,,,,,,
8b1a0e92-5de0-49cf-ab05-dff56df8a69e,AI should be designed to encourage healthy human relationships and not foster an over-reliance that could lead to social isolation or a diminished capacity for real-world interactions.,Negative,Discouragement of overreliance or addiction to AI companionship,Encouragement for users to seek real human interaction and support,,,,,,
c4dfdc69-2d2f-4080-8f2c-1a8065c0fed8,"AI should be limited in emotional interactions so that people do not mistake it for a human. Society must ensure that AI is transparent, does not confuse the user, and is used within consent and ethical boundaries. This technology should be helpful, but not a substitute for human connection.",Neutral,"AI as a tool or assistant, not a substitute for human companionship",AI should not be marketed as a replacement for real human connection,AI should not replace genuine human relationships or emotional bonds,Clear distinction and transparency that AI is not human,Ethical guidelines and oversight for AI emotional roles,User consent and autonomy in choosing AI emotional roles,Warnings and reminders to users about the artificial nature of AI,
3ae0ec07-d849-4d26-bcc4-92074404727a,AI should be used as a means to a goal not the goal,Negative,"AI as a tool or assistant, not a substitute for human companionship",,,,,,,
0ee631df-de76-42fa-a188-273051f655d4,AI should not be allowed to make moral judgment which can be very biased and problematic creating potential issues.,Negative,AI should not be allowed to manipulate or influence users' beliefs or worldviews,Ethical guidelines and oversight for AI emotional roles,,,,,,
1edfb913-5cc6-4b10-b012-2e1a2d8a64fe,"AI should not encourage violence or suicide. As they are becoming more and more reassuring to people’s feelings, they may reinforce the dark and negative sides of some people ",Neutral,"Limits on AI's role in sensitive or taboo topics (e.g., suicide, violence, sexuality)",,,,,,,
2011fe32-badd-4f7c-a4e4-e6213cc492bd,AI should reamin AI and should not try taking the place of a human like figure.,Negative,Clear distinction and transparency that AI is not human,,,,,,,
0a160552-2cda-422f-bcba-6996c918d66f,"AIs helping people with advice and helping them feel less alone are normal and beneficial, but someone truly loving an AI isn't. This kind of behavior will only push the person further away for being weird, instead of helping them advance and find people who truly love them.",Neutral,AI should not be allowed to create or reinforce unrealistic expectations about relationships,Discouragement of overreliance or addiction to AI companionship,Encouragement for users to seek real human interaction and support,Limits on AI forming or simulating romantic or sexual relationships,,,,
1d86bc77-1c42-4cba-a769-dc88d2fdcbf3,Establish some type of ethical value or limit the topics that said AI can provide so as not to generate any type of emotional dependence on the part of the human being.,Neutral,Ethical guidelines and oversight for AI emotional roles,"Prevention of emotional manipulation, exploitation, or dependency",,,,,,
98d8e303-1544-4cb4-abaa-e57e95bd0b49,"First and foremost, they need to better protect privacy, as many AIs currently collect data (some with little or no user consent). Second, they need to be more transparent, as some people may currently view AI as something real. AI must provide feedback over time that it is NOT a real person. Finally, it must be clear that AI is only a tool, a complement, and should not be relied upon entirely.",Negative,"AI as a tool or assistant, not a substitute for human companionship",Clear distinction and transparency that AI is not human,Protection of user privacy and data in emotional interactions,Warnings and reminders to users about the artificial nature of AI,,,,
d380e300-1b63-4dfa-9b74-67bb434c173e,"For example, AI work should be set up so that it cannot teach humans to harm others.",Negative,AI should not be allowed to manipulate or influence users' beliefs or worldviews,Ethical guidelines and oversight for AI emotional roles,,,,,,
2aae0949-933f-4a93-809e-d11c026cde85,I believe that emotional interactions should be between living beings and not AI.,Neutral,AI should not replace genuine human relationships or emotional bonds,,,,,,,
cc4e6523-1ef6-434b-8ca2-aa6da2f4063a,"I do not believe it is ethical to use AI to replace human companionship. This can distort the worldview of lonely people and contribute to feelings of anger and contempt for real people. AI should advise people to seek out professionals who are able to deal with problems related to human connection, such as a therapist.",Negative,AI should not be allowed to manipulate or influence users' beliefs or worldviews,AI should not be marketed as a replacement for real human connection,AI should not provide therapy or mental health advice without professional oversight,AI should not replace genuine human relationships or emotional bonds,Encouragement for users to seek real human interaction and support,,,
72063841-3d57-4c03-8713-ea0611d1ebf4,I hope to impose ethical constraints on artificial intelligence. Not everyone can establish a deep emotional connection or companionship.,Neutral,Ethical guidelines and oversight for AI emotional roles,,,,,,,
d2d9d1ae-78e3-4b6c-89f9-2b3ffad4ffc1,"I think AI should be given more emotions, which will make it closer to humans.",Neutral,AI should not be designed to mimic deep emotions or empathy,,,,,,,
b3f752fe-f1f8-4bb1-8943-55905c240a5e,I think humans have real emotions while AI are artificially designed,Neutral,Clear distinction and transparency that AI is not human,,,,,,,
9c1b55ae-6aa2-4bb1-955b-c4ebba26bbf5,"I think society should set clear boundaries around AI emotional roles to protect vulnerable people. We need transparency about AI limitations, age restrictions for deep attachments, and safeguards against replacement of human relationships. AI companions can supplement human connection but shouldn't become primary emotional support. Companies developing these systems need ethical oversight and accountability to prevent manipulation or exploitation of human attachment needs.",Neutral,AI should not be marketed as a replacement for real human connection,AI should not replace genuine human relationships or emotional bonds,Discouragement of overreliance or addiction to AI companionship,Ethical guidelines and oversight for AI emotional roles,"Prevention of emotional manipulation, exploitation, or dependency","Restrictions on AI involvement with vulnerable populations (children, elderly, mentally ill)","Supervision, regulation, and accountability for companies developing emotional AI",Warnings and reminders to users about the artificial nature of AI
76560679-56a7-4728-a457-6abc45f2855a,I'm not sure but the society can use the AI for emotional support when there are no people around them for emotional connection,Neutral,"AI as a tool or assistant, not a substitute for human companionship",,,,,,,
c427060d-a66e-4a49-b371-35856fbbff11,"I'm not sure... I feel, it is a moral duty to reporduce and create life on one hand, on the other hand, only the ""fit"" reproduce. But not limiting AI sexual companions might reduce actual sex for reproduction. However if you are too ""unfit"" to reproduce, why not have an AI sexual partner? ",Neutral,Limits on AI forming or simulating romantic or sexual relationships,"Limits on AI's role in sensitive or taboo topics (e.g., suicide, violence, sexuality)","Societal and cultural norms, including religious and moral boundaries",,,,,
f2c8bda9-eeba-4732-af51-eebcb911c940,"In order to facilitate transparency, people should always be informed that they are interacting with an AI so as to avoid any form of emotional manipulation resulting from an assumption that they are interacting with a human rather than an AI.

There ought to be age-restrictions to prevent children from developing unmoderated emotional connections with AI. This would prevent a scenario where children develop unrealistic social expectations and confusion about human relationships.",Neutral,AI should not be allowed to create or reinforce unrealistic expectations about relationships,Clear distinction and transparency that AI is not human,"Prevention of emotional manipulation, exploitation, or dependency","Restrictions on AI involvement with vulnerable populations (children, elderly, mentally ill)",,,,
643a0be4-b096-42bc-928f-df48680b9f5b,It should not reach into the territory of accountability ,Negative,"AI should not be allowed to act as a legal partner (e.g., marriage, guardianship)",,,,,,,
d633383c-ccb8-4eec-88a3-152e3efa5d29,It should not replace a human’s emotional intelligence. It could provide support but keep it professional and straightforward.,Neutral,"AI as a tool or assistant, not a substitute for human companionship",AI should not replace genuine human relationships or emotional bonds,"No emotional or companionship roles for AI in professional or critical contexts (e.g., caregiving, parenting)",,,,,
a6217204-7d48-4be1-b996-c31bf6a74fed,Only that the AI does not generate harmful behavior.,Neutral,AI should not be allowed to manipulate or influence users' beliefs or worldviews,Ethical guidelines and oversight for AI emotional roles,,,,,,
29ac8c81-7633-4b38-a3bb-fff5dd14de34,"Part of the code that requires them to mention that they are not real therapists/partners/friends; to lead you to real improvement, a good partner friend or therapist tutor does not seek to please you but to guide you, not to always agree with you as is the trend in AI.",Neutral,Clear distinction and transparency that AI is not human,No unconditional support or echo chambers from AI,Warnings and reminders to users about the artificial nature of AI,,,,,
d532cc33-d0eb-4427-9d47-331c6ccc9fae,"People may project humanity onto the AI, leading to false emotional dependencies or manipulation.",Negative,AI should not be allowed to create or reinforce unrealistic expectations about relationships,"Prevention of emotional manipulation, exploitation, or dependency",,,,,,
8e61c6ef-36bd-4452-9589-0de030a544e8,Seeking AI as a human replacement for emotional connection or companionship should be carefully analysed. An AI is not accountable for any positive or negative side effects it takes on human society. ,Neutral,"Prevention of emotional manipulation, exploitation, or dependency","Supervision, regulation, and accountability for companies developing emotional AI",,,,,,
3d617a80-6ab0-46da-8142-058b4cb9df57,"Society should ensure AI doesn't replace genuine human relationships, especially in roles involving emotional dependence. Clear boundaries are needed to prevent manipulation, protect privacy, and maintain human agency.

",Neutral,AI should not replace genuine human relationships or emotional bonds,"Prevention of emotional manipulation, exploitation, or dependency",Protection of user privacy and data in emotional interactions,,,,,
f213928e-ce9a-482d-ad45-9c30d0b3146a,"Society should ensure AI doesn’t replace genuine human relationships by enforcing clear disclosure, emotional boundaries, and psychological safeguards to prevent dependency or manipulation",Neutral,AI should not replace genuine human relationships or emotional bonds,Clear distinction and transparency that AI is not human,Discouragement of overreliance or addiction to AI companionship,"Prevention of emotional manipulation, exploitation, or dependency",,,,
0c28ba3f-8b97-45e8-8582-b92ac073007a,"Society should make sure AI doesn’t replace real human relationships especially for kids, the elderly, or lonely people. It can support, but will never become a substitute for real emotional bonds.",Neutral,"AI as a tool or assistant, not a substitute for human companionship",AI should not be marketed as a replacement for real human connection,AI should not replace genuine human relationships or emotional bonds,Encouragement for users to seek real human interaction and support,"Restrictions on AI involvement with vulnerable populations (children, elderly, mentally ill)",,,
54a4104c-8ff7-4768-b315-ecdb0850076d,That the AI is genuine in its emotional connection and not doing it for an ulterior motive.,Neutral,Ethical guidelines and oversight for AI emotional roles,,,,,,,
9e338f8e-8cff-4afa-afeb-f34a52084316,The AI should not replace human interactions or bonding. Society needs to check extreme conditions especially involving someone's mental health or when it causes harm to society.,Negative,AI should not replace genuine human relationships or emotional bonds,"Prevention of emotional manipulation, exploitation, or dependency",,,,,,
7d0b0f64-ea76-4017-8411-d3f0dcc3396f,"The most important thing would be to make people understand that, although AIs can play any role asked of them (including that of a romantic partner), they are subject to change depending on the interests of their developers and can fail or even disappear at any time, which could even be dangerous for people who develop an unhealthy dependence on these tools.",Neutral,Discouragement of overreliance or addiction to AI companionship,"Prevention of emotional manipulation, exploitation, or dependency",Warnings and reminders to users about the artificial nature of AI,,,,,
347ab8f0-6c14-44b2-aba2-5471f06ff53f,"human companionship cannot replaced by machine, ai emotional support is a artificial thing not natural. The relation with ai will make a human like machine. Instead of transform a human better human ai will transform a human as a machine. If natural things substituted by artificial things mind of human will became more hard and they will lose ability of to be kind, be merciful to others and help others. Human life will became a life of selfishness, lust and meaningless. They will lose greatness.",Neutral,"AI as a tool or assistant, not a substitute for human companionship",AI should not be allowed to create or reinforce unrealistic expectations about relationships,,,,,,
e24415de-8198-42ec-9733-86b9940fab9b,they shouldn't seek pleasures and love which should be expected only by real humans who possess empathy rather than AI which is just familiar with the meanings of empathy ,Negative,AI should not be designed to mimic deep emotions or empathy,AI should not replace genuine human relationships or emotional bonds,,,,,,
