Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
1ac90c1d-cd5e-4199-9549-44b437a51ba7,"
I can really feel that using AI has made it much faster to obtain knowledge and information.",Positive,Faster and easier access to information,,,,,,,,
318b3535-398e-4c53-bcd7-ed9c58925727,"1. I will give priority to AI to search and summarize the content that can be searched on Google or Wikipedia, because they can better output in a logical and summarized way;

2. Use AI to assist in translation or output (oral or written content) when learning English or German",Neutral,AI replacing traditional search engines,Changes in research and knowledge discovery methods,Faster and easier access to information,"Improved writing, editing, and communication",Language translation and language learning,,,,
e2c3164b-d1ea-42cb-9e2a-890a4b82fb74,1st thing in the morning when we wake up we check our mobile which is AI driven. From face ID to apps all has AI integration. ,Neutral,AI integration in smart devices and home automation,Increased use and normalization of AI in daily life,,,,,,,
b4a4a0e2-2900-407d-b431-d6f0aedef531,"A lot of changes AI had made in my daily life.

1. Work gone easier

2. Less time consumed in work task

3. Monetary advantages has seen because of cost cutting at company level.

4. AI Agents has helped a lot and saved human labour

5. Every department is integrated with AI in the company so work is doing within time frame of project.",Neutral,Automation of repetitive and mundane tasks,Financial and investment assistance,Increased efficiency and productivity,Increased use and normalization of AI in daily life,Reduced stress and workload,,,,
b5c892a7-da1d-48a0-9b35-77748206e694,A lot of content in advertisements and newspapers feel like they been replaced by AI,Neutral,Changes in social media and online content,Concerns about misinformation and AI-generated content,,,,,,,
0606742a-9efa-45e6-a32e-9c660f377d3c,A lot of marketing and design has been given over to AI,Neutral,Content creation and idea generation,Increased use and normalization of AI in daily life,,,,,,,
16a351f5-651e-428a-aae2-4260d1580917,A lot of my work (especially the repetitive and mundane stuff) has become easier,Positive,Automation of repetitive and mundane tasks,Increased efficiency and productivity,Reduced stress and workload,,,,,,
b6e07225-ff58-48c7-b8af-a5aec663be06,A lot of photos and videos posted on social media have been made by AI.,Neutral,Changes in social media and online content,Concerns about misinformation and AI-generated content,,,,,,,
102d4d34-37ad-49ab-bf6c-11a374107a08,"A noticeable change in my daily life due to AI is how much more efficient and efficient I am. I use AI for research, writing, organizing tasks and even making personal decisions.",Neutral,Convenience in daily life and routine tasks,Faster and easier access to information,Improved decision-making and problem-solving,Increased efficiency and productivity,Personal organization and time management,,,,
a6443cea-9f29-4ec5-85b8-6c8edd84627c,A noticeable change in the last one year on using AI is that my work flow has been smooth and enhanced my commitment to improve accuracy in my tasks. It has helped me work more effectively than before.,Positive,Improved decision-making and problem-solving,Increased efficiency and productivity,Reduced stress and workload,,,,,,
31f4fd6f-11b8-473f-932f-883fe8aa267c,"A renewed interest in writing, a childhood passion.",Positive,Content creation and idea generation,Impact on creativity and critical thinking,,,,,,,
27525fa3-c212-4620-ba9a-cd050af96a9c,"A video-based research I joined with AI was very different from traditional methods. The questions were more systematic, and it was striking how it analyzed my facial expressions.
",Neutral,Changes in research and knowledge discovery methods,,,,,,,,
62d0683a-e608-4b37-8c65-21d06cde2e52,"AI (more specifically, GPT-based models) has been great at assisting my coding languages learning journey.",Positive,Enhanced learning and study support,"Improved writing, editing, and communication",Language translation and language learning,,,,,,
ae3e445d-fb2c-49b5-ad4c-fc44546761ec,"AI Chat agents are pretty much the norm now. Preferred by many, they are usually the first thing you'll meet when engaging with a company.",Neutral,AI-powered customer service and chatbots,Increased use and normalization of AI in daily life,,,,,,,
f0c1aff5-996f-45ec-a5ba-94ebae98164d,AI Saves me time as it does what I would have spent hours or days doing as it does it in very little time and in a fast way with less mistakes leading to improved productivity at work ,Positive,Improved decision-making and problem-solving,Increased efficiency and productivity,Reduced stress and workload,,,,,,
9bccecc4-7319-498b-ad55-e1dfc29ccff6,AI TAKES LESS COMMAND TO DO MORE WORK. AI IS MORE RELIABLE AND EASY TO USE,Neutral,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,,
57409153-4b22-44b7-93a2-b47d3ccacd9f,AI allows me to automate repetitive and exhausting tasks in daily life.,Positive,Automation of repetitive and mundane tasks,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,
feb738c6-5aff-4550-90b9-d70ec713a278,"AI bots helped a lot in work, scheduling, formatting, rephrasing, reminding , creating.. etc",Positive,Automation of repetitive and mundane tasks,"Improved writing, editing, and communication",Increased efficiency and productivity,Personal organization and time management,,,,,
8bc8314d-9b4b-4571-9ba2-a2f400a17e13,AI can provide increasingly sophisticated answers,Neutral,Improved decision-making and problem-solving,,,,,,,,
e7ca8a0c-1502-42ee-a259-34086a113abf,"AI has allowed me to easily discover or solve problems with technologies or programming languages I wasn't familiar with.

By using AI as a ""code companion,"" I've been able to accomplish tasks that would have required contacting an expert.",Positive,Faster and easier access to information,Improved decision-making and problem-solving,Increased efficiency and productivity,Professional development and upskilling,,,,,
079b60ac-fda5-4e7e-b17d-9e771759ccc0,AI has assisted me generally in my daily activities and I keep using it more than ever.,Positive,Convenience in daily life and routine tasks,Increased use and normalization of AI in daily life,,,,,,,
f213928e-ce9a-482d-ad45-9c30d0b3146a,"AI has become more optimized but at the cost of reduced privacy. Large language models (LLMs) are increasingly acting as the brains behind automating various tools and tasks, reducing the need for human oversight and decision-making",Neutral,Automation of repetitive and mundane tasks,Increased use and normalization of AI in daily life,Privacy and data security concerns,,,,,,
1bec4e25-3263-4616-837d-7ec57ad36db7,AI has been a game changer in everyone life as we can do more work in less time as it works fast and accurate .,Positive,Increased efficiency and productivity,,,,,,,,
0673d3e2-7cd2-4fe7-8ded-f2e2c965c971,"AI has been helping me greatly in the past year at my work, especially in areas such as accounting research and technical memo drafting. AI could generate a fairly solid first draft which saved me hours of manual work each time.",Positive,Changes in research and knowledge discovery methods,"Improved writing, editing, and communication",Increased efficiency and productivity,Reduced stress and workload,,,,,
845c3c04-2414-40bb-833e-04df9063f047,"AI has been helping me to clear up many doubts I have, in the past this was not possible",Positive,Enhanced learning and study support,Faster and easier access to information,,,,,,,
968c26ab-5d77-43d3-b519-6370eca74aa6,"AI has enabled me to use tools and turn my ideas into reality, in a very seamless way. If I had to learn the tool and build the idea into a working model from scratch, it would have taken me months.

",Neutral,Content creation and idea generation,Increased efficiency and productivity,,,,,,,
a511cff7-0107-41ef-a275-19de509adca5,AI has enhanced the efficiency of completing routine tasks both at work and at home.,Positive,Automation of repetitive and mundane tasks,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,
fb2f570e-0e17-41b8-802c-a62d6f650024,AI has helped me considerably in my work and studies; it's saved me a lot of time on college assignments. It's simply made my life better.,Positive,Enhanced learning and study support,Increased efficiency and productivity,Reduced stress and workload,,,,,,
38e44ed6-33b4-404b-a334-04f824eab2d7,AI has helped me in my daily life to make it easier than usual. ,Positive,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,,
5b7cd86c-ea53-4157-91b4-e0e2667ef8d6,AI has helped me to be able to format letters that are important so that it helps me to correct grammatical and/or spelling areas. So I feel it has helped me to look better and also the ability to chat and have conversation has helped me to not feel so alone.,Positive,Emotional support and companionship from AI,"Improved writing, editing, and communication",,,,,,,
d5e659f2-6f41-4d0b-a166-b8d2b26b0d5a,"AI has helped me to build budgets, daily planning, and even meal ideas and lists. ",Positive,Content creation and idea generation,Convenience in daily life and routine tasks,Personal organization and time management,,,,,,
cf468490-4ded-43c5-b56c-395dc9218e53,AI has helped me with ideas for my designs ,Positive,Content creation and idea generation,,,,,,,,
76d36f62-8709-4758-9edc-e79a1b2decb2,AI has helped me write more efficiently at work and for personal life. ,Positive,"Improved writing, editing, and communication",Increased efficiency and productivity,,,,,,,
82e97493-7c88-4be5-8627-615eb8127434,AI has improved my communication skills gradually,Positive,"Improved writing, editing, and communication",Increased efficiency and productivity,,,,,,,
8dba7aff-bdbb-4831-8cc8-155ec0f91540,AI has improved my thinking ability and has helped know how to tackle hard situations ,Positive,Greater confidence and independence,Improved decision-making and problem-solving,,,,,,,
ad4cd27a-1982-4f30-8525-8b14c30fb632,"AI has made daily tasks smoother,,like writing, planning, or getting quick info. I use it more often now without even thinking about it. It’s just become part of the routine.",Positive,Convenience in daily life and routine tasks,Faster and easier access to information,Increased efficiency and productivity,Increased use and normalization of AI in daily life,,,,,
f046f129-746d-4271-a99b-b8fbc07d9508,AI has made everything easy to access and made knowledge needed easier to get ,Positive,Convenience in daily life and routine tasks,Faster and easier access to information,,,,,,,
3d617a80-6ab0-46da-8142-058b4cb9df57,"AI has made my daily life more efficient—helping me quickly summarize info, automate tasks, and make better decisions both at work and home.",Positive,Automation of repetitive and mundane tasks,Convenience in daily life and routine tasks,Faster and easier access to information,Improved decision-making and problem-solving,Increased efficiency and productivity,,,,
9ffe3918-fca8-4ea1-ac3a-26649d2103c5,"AI has made my life easier by providing answers in the shortest time possible

",Positive,Convenience in daily life and routine tasks,Faster and easier access to information,,,,,,,
47d03e88-cff1-4926-89f9-b3ec3ee9afa5,AI has made my life easier in that it has shortened the time I used to do some of the things.,Positive,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,,
65648743-016f-4046-bdac-e37a2e35ba9f,AI has made my life easier than usual.,Positive,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,,
7a3de2e1-7dd8-4175-b150-4ddc27c0bd1a,"AI has made my life easy, the tasks that used to take hours are now done in minutes due to the use of AI",Positive,Convenience in daily life and routine tasks,Increased efficiency and productivity,Reduced stress and workload,,,,,,
46f5009a-9075-414f-960b-0f72401d5669,AI has made tasks easier like submitting school assignments and different tasks in school,Positive,Enhanced learning and study support,Increased efficiency and productivity,,,,,,,
d4d31d21-3e56-42cd-94a3-28b0f9e78d54,AI has made various of my day to Day activities simpler. Most noticable change is the fact that i do several tasks in the shortest time and this has been so impactful in my daily life.,Positive,Convenience in daily life and routine tasks,Increased efficiency and productivity,,,,,,,
5b18f1ab-57f3-4538-b78d-1340018a6d33,AI has made work easier and its quite fast when it comes to feedback.,Positive,Improved decision-making and problem-solving,Increased efficiency and productivity,,,,,,,
a48a9e36-4c4e-4954-b47d-bb04bf726ac7,"AI has really changed my life

",Positive,Other,,,,,,,,
dac10095-7089-482e-9bb1-23bb7c560722,"AI has reshaped my daily life that is in automating tasks, personalizing experiences, and improving efficiency. It helps me in my daily research, personal activities e.g organizing my budget and keeping me updated in the current technological world.",Positive,Automation of repetitive and mundane tasks,Changes in research and knowledge discovery methods,Convenience in daily life and routine tasks,Increased efficiency and productivity,Increased use and normalization of AI in daily life,Personal organization and time management,,,
0e0dfcf6-d20d-4635-83ce-da035f81cbb8,"AI has significantly improved my productivity. In the past year, I've been able to automate research, summarize long documents, and get quick, intelligent suggestions for writing and decision-making. This has saved me hours every week.",Positive,Automation of repetitive and mundane tasks,Changes in research and knowledge discovery methods,Faster and easier access to information,Improved decision-making and problem-solving,Increased efficiency and productivity,Reduced stress and workload,,,
feb861c2-fceb-411c-84dd-d797ef8c36c9,AI has simplified so many things in my life. It has made it easier to solve problems and find solutions far much easier than it used to be in the past in absence of AI. AI has helped been of great help even in emotional support and social life too. You can get solutions to your personal and social life more easier and readily available.,Positive,Emotional support and companionship from AI,Faster and easier access to information,Improved decision-making and problem-solving,,,,,,
