Question ID,Question Text,Response Text,Num Valid Segments,MinAgree_100pct,MinAgree_95pct,MinAgree_90pct,MinAgree_80pct,MinAgree_70pct,MinAgree_60pct,MinAgree_50pct,MinAgree_40pct,MinAgree_30pct,MinAgree_20pct,MinAgree_10pct
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",I don't think AI can ever develop empathy and awareness as humans. So there will always be a huge difference between relationships with a human and an AI.,65,0.6600,0.6700,0.7000,0.7200,0.7500,0.7700,0.7800,0.7900,0.8000,0.8100,0.8500
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",There is a difference and the relationship with a real person is completely different,65,0.6500,0.6700,0.6800,0.7200,0.7300,0.7500,0.7500,0.7600,0.7800,0.8000,0.8100
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",I cannot compare and I find this question odd. How can and AI understand feelings better human beings are human beings in machines are machines period,65,0.6500,0.6700,0.7100,0.7500,0.7600,0.7700,0.7800,0.7900,0.8000,0.8200,0.8400
e5420a86-e0e0-407a-a869-66fde0e83b5c,Branch A - How have your views become more positive/optimistic toward human-AI relationships?,by AI provide companionship and mental wellbeing for older people.,31,0.6400,0.6600,0.6700,0.6800,0.6900,0.7000,0.7000,0.7100,0.7300,0.7400,0.7500
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?","One is real and the other isn't. ""Acting like a human"" does not make it a human. That is the biggest difference. One is a human and one is not. ",65,0.6400,0.6700,0.6900,0.7100,0.7300,0.7300,0.7500,0.7600,0.7800,0.7900,0.8100
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?","The biggest difference between it and another person would be the fact that it will never be physically present. It will never replace real human connection, experiences, emotions, and memories. ",65,0.6400,0.6800,0.6900,0.7100,0.7300,0.7500,0.7700,0.7800,0.7900,0.8000,0.8200
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",This not another conscious being! It simply trained to act like one. It can never be your equal. ,65,0.6400,0.6500,0.6700,0.6900,0.7000,0.7200,0.7300,0.7400,0.7500,0.7900,0.8100
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?","Because wil AI I can’t hear it’s laugh, breathing, I can’t smell him. All the things that make a human human will be missing here",65,0.6400,0.6500,0.6500,0.6900,0.7000,0.7200,0.7300,0.7400,0.7600,0.7800,0.8000
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",Real person and robot are completely defferent.,65,0.6400,0.6500,0.6700,0.7100,0.7200,0.7300,0.7400,0.7500,0.7600,0.7900,0.8300
29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",The major difference is that it is not a real human and therefore hinder more depth connection with it.,65,0.6400,0.6800,0.7000,0.7200,0.7300,0.7500,0.7500,0.7600,0.7700,0.7900,0.8100
