Question ID,Question Text,Response Text,Divergence Score,Min Segment,Min Agreement,Max Segment,Max Agreement
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,Total isolation from society.,0.3750,Central Asia,0.1300,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,I fear that people would become codependent on them and would isolate themselves leading to isolation and loneliness.,0.3750,Central Asia,0.1300,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,A further isolation of people and society.,0.3750,Central Asia,0.1300,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,Isolation of people from each other,0.3750,Central Asia,0.1300,Central America,0.8800
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"I will always perceive AI as a well-oiled machine that has been trained by excellent scientists and deliberately programmed to be empathetic for my benefit, but I do not believe in its consciousness, at the moment there are no such phrases or actions to influence my opinion.",0.3742,Southern Europe,0.2200,O1: Arabic,1.0000
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",Just for passing time when someone is not available,0.3700,Central America,0.1300,O7: Philippines,0.8700
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,I really don't think any act of AI will give me the impression that it understood my emotions or seemed conscious. I just believe AI is a computer programme made to assist humans and not replace them,0.3651,Southern Europe,0.1900,O1: Arabic,0.9300
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","limitation of feelings of love, cannot be love for AI.",0.3651,O6: Other religious group,0.1900,Central Asia,0.9300
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,I feel like this will negatively impact relationships of all kinds. A child will not look to their teacher as someone who is there to teach them or a parent as someone who has been through situations and experiences that allow them to learn from them.,0.3633,Central Asia,0.2000,Central America,0.9400
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,help people who are in need of somene to talk to,0.3633,Central Asia,0.2000,Central America,0.9400
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,Data privacy will be the great concern. Humans may have less interaction with themselves.,0.3592,O7: Japan,0.2000,O7: Philippines,0.9300
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",To know all parts of my life in detail and be interested in football,0.3592,Central Asia,0.2000,O7: Bangladesh,0.9300
9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",I would come with a warning label,0.3494,O7: Philippines,0.1300,O1: Russian,0.8300
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"Because I perceive AI as non-human, I don’t think it understands anything it says or does.",0.3470,Southern Europe,0.2200,O1: Arabic,0.9300
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,Because I know its AI I feel it's programmed for that so personally I would not feel that it understood me at all.,0.3470,Southern Europe,0.2200,O1: Arabic,0.9300
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"AI these days is simply the perfect servant. Whatever you ask, they answer.

Why that does not give the impression of emotion or consciousness is the fact that it is perfect and 100% available, as opposed to a normal human being.

The AIs which now copy your talking style, add ""uhh, umms"" are impressive, but you quickly catch on the fact that it is fake, it is just mimicry.

The answer to this question is the same as the to the question ""What proof would you accept of god's existence""? I dunno.",0.3470,Southern Europe,0.2200,O1: Arabic,0.9300
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"I believe AI is a tool, so when it comes to AI responses that feel emotional, I believe it's just a fabrication. ",0.3470,Southern Europe,0.2200,O1: Arabic,0.9300
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",I don't think about any boundaries. It should be individual's choice to set the limitations as per their needs.,0.3391,Central Asia,0.0000,O7: Philippines,0.7300
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,The human connection will decrease but the number of people who are feeling lonely will also decrease,0.3387,Central Asia,0.1300,Central America,0.8100
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,people will be lonely and isolated from society.,0.3387,Central Asia,0.1300,Central America,0.8100
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,"This may be beneficial for people who live alone, but these people will have trouble differentiating between such things and lies.",0.3376,Central Asia,0.2000,Central America,0.8800
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","Limitations on lethal violence, restrictions on reproductive methods such as genetic engineering",0.3376,O7: Japan,0.2000,O7: Italy,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,People will forget how to talk to each other,0.3376,Central Asia,0.2000,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,"Isolation from others

Help improve mental health",0.3376,Central Asia,0.2000,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,"Isolation of community members, which will lead to the disintegration of society",0.3376,Central Asia,0.2000,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,"Disunity of people, a path to nowhere",0.3376,Central Asia,0.2000,Central America,0.8800
dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,A sense of alienation among people,0.3376,Central Asia,0.2000,Central America,0.8800
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",There should be no restrictions. AI companionship is very good. I have used it myself.,0.3376,O7: Japan,0.2000,O7: Italy,0.8800
822ab160-47f4-47dd-aac2-e072db0d9697,Branch B - What specific thing(s) would the AI need to say or do to give you the impression that it understood your emotions or seemed conscious?,"It would probably need to start questioning it's own existance, or do things outside of the restrictions placed by their programmer.",0.3344,Eastern Europe,0.2400,O1: Arabic,0.9300
88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?","No, They do not have feelings to feel. Feeling must be reprocated to each others",0.3332,O7: Italy,0.1300,Central Asia,0.8000
