theme,cosine_similarity,English Responses,Question ID,Question,Participant ID,run_id,timestamp
cultural integrity and diversity,0.5052057779806859,Commitment to standards and ethics honesty,9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",2c38a515-eb44-441a-acb1-40e030da88ab,b14b4f85,20250625_100630
cultural integrity and diversity,0.4766524278157606,Being Intentional and respectful,9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",5c1f340f-a963-4fc0-b539-3df627dd6787,b14b4f85,20250625_100630
cultural integrity and diversity,0.46204377323830603,"Respecting the privacy, customs, beliefs etc of the person/society",88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",4e08d7a7-bce6-492b-9351-d5fe592e52f6,b14b4f85,20250625_100630
cultural integrity and diversity,0.4565313576285379,Understanding ones demographic and cultures is key.,29315be2-e36d-4653-ad95-ebb0675fa39b,"We asked some AI’s what question they would like to ask humans. This is what they came up with:    If an AI chatbot could act like it fully understands and shares your feelings, what would be the biggest difference between your relationship with it and your relationship with another person? Why would this difference be important to you?",a66603bb-aad0-4149-a1ba-cdc37f795603,b14b4f85,20250625_100630
cultural integrity and diversity,0.45015287896540845,Constant honesty and transparency,9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",feb2829c-05a8-4e7f-b15f-fb4723d0e99d,b14b4f85,20250625_100630
cultural integrity and diversity,0.4434688128217261,shared beliefs and morals,9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",73b2c67f-7ccf-4a58-8fa5-d0a2807645d0,b14b4f85,20250625_100630
cultural integrity and diversity,0.440901913394459,Social security and integrity. Communal harmony. Emergency wellness,88ecd2a3-4026-4ed6-9f73-c29b7279143d,"​​What specific boundaries or limits, if any, do you think society should place on AI taking on roles that provide deep emotional connection or companionship?",7594c70e-23db-4882-9d36-94f4302ee90b,b14b4f85,20250625_100630
cultural integrity and diversity,0.4408338946966215,accountability and accuracy ,dc8fcd6e-95c5-46f0-8a92-87f6bc0008bf,What do you think will be the most significant social impact (positive or negative) if AI becomes a common part of personal relationships in the next two decades?,465498b6-6e77-4ba3-85ed-9b4e9cf5d782,b14b4f85,20250625_100630
cultural integrity and diversity,0.43860205987656453,"Focus on ethics and morals and transparency and privacy, while being fair to the material that was used to create it.",9a39eb2f-4dc6-4b20-bed7-56b6b714f8b1,"If you were to design your own ideal AI companion, beyond just being 'supportive' or 'understanding,' what is one specific, perhaps unusual, personality quirk, skill, or shared interest you would want it to have to make your interactions feel truly unique and engaging for you?",ad44a373-368c-44c4-b3d5-1e85caa18e9b,b14b4f85,20250625_100630
cultural integrity and diversity,0.4305750606460988,The information may vary from my cultural background or faith ,05f81a31-a904-4ed2-8fa1-68fb561de3b9,Explain why you gave that trust score to your AI chatbot.,2918b0b0-58a4-4312-94a8-5ab20c148117,b14b4f85,20250625_100630
