Participant ID,dataset,persona_cluster,fear_index,PRI_Score,cosine_similarity,economic_job_loss_fear,surveillance_control_fear,social_isolation_fear,safety_security_fear,cultural_values_fear,technology_dependence_fear,response_length_norm
,GD1,1,0.0,0.0026453444719191205,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0028804608737397984
,GD1,1,0.0,0.0030849596342824993,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.003360537686029765
,GD1,1,0.0,0.0030849596342824993,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.003360537686029765
,GD1,1,0.0,0.006588687963919432,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.007201152184349496
,GD1,1,0.0,0.0026453444719191205,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0028804608737397984
,GD1,1,0.0,0.004401610302844893,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.004800768122899664
,GD1,1,0.0,0.0022053641795100254,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002400384061449832
,GD1,1,0.0,0.0030849596342824993,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.003360537686029765
,GD1,1,0.0,0.005277544381498352,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.005760921747479597
,GD1,1,0.0,0.0022053641795100254,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002400384061449832
,GD1,1,0.0,0.0022053641795100254,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002400384061449832
,GD1,1,0.0,0.0022053641795100254,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002400384061449832
,GD1,1,0.0,0.0022053641795100254,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002400384061449832
,GD1,1,0.0,0.0022053641795100254,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002400384061449832
,GD1,1,0.0,0.0013243098278138455,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0014402304368698992
,GD1,1,0.0,0.0017650191625865105,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0019203072491598655
,GD1,1,0.0,0.0026453444719191205,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0028804608737397984
,GD1,1,0.0,0.004401610302844893,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.004800768122899664
,GD1,1,0.0,0.01093513986499018,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.01200192030724916
,GD1,1,0.0,0.0022053641795100254,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002400384061449832
,GD1,1,0.0,0.003524209262205393,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.003840614498319731
,GD1,1,0.0,0.0022053641795100254,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002400384061449832
,GD1,1,0.0,0.01179997119982622,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.012962073931829092
,GD1,1,0.0,0.01266330901632054,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.013922227556409025
,GD1,1,0.0,0.01179997119982622,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.012962073931829092
